peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
523	6005	743.8918	297745	0.0178	3	-1
524	6005	743.91092	274045	0.017	2.76	-1
525	6005	744.03441	505437	0.0161	5.09	-1
526	6005	744.36777	246315	0.0145	2.48	-1
527	6005	745.40598	1074115	0.015	10.82	-1
528	6005	746.04142	435432	0.0154	4.39	-1
529	6005	746.37656	397392	0.0275	4	-1
530	6005	746.39026	242857	0.0148	2.45	-1
531	6005	746.40737	258706	0.0184	2.61	-1
532	6005	746.70853	479522	0.0152	4.83	-1
533	6005	746.87333	2445993	0.0152	24.65	-1
534	6005	747.34518	287561	0.0223	2.9	-1
535	6005	747.37508	1931732	0.0158	19.47	-1
536	6005	747.69913	232038	0.0189	2.34	-1
537	6005	747.87687	873734	0.0154	8.8	-1
538	6005	747.90686	479335	0.0147	4.83	-1
539	6005	748.34076	204973	0.0151	2.07	-1
540	6005	748.38532	394179	0.0128	3.97	-1
541	6005	748.40668	240509	0.0193	2.42	-1
542	6005	748.42165	433097	0.0151	4.36	-1
543	6005	750.36276	325213	0.014	3.28	-1
544	6005	750.66705	2455804	0.0155	24.75	-1
545	6005	751.0016	3017622	0.0154	30.41	-1
546	6005	751.33582	1289708	0.0153	13	-1
547	6005	751.67034	707562	0.0145	7.13	-1
548	6005	752.0033	259505	0.0182	2.61	-1
549	6005	753.8637	494173	0.0151	4.98	-1
