scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
280,3,1957903,813.35896,0.1332,2437.64887,2436.07857,2437.08843,0.3935,5.3,1957903,0,1,0
280,1,1289611,732.89459,0.1457,732.33922,731.88786,731.88786,0.1711,3.49,1289611,0,,0.46873
280,2,1413475,692.91075,0.2876,1383.74019,1382.80487,1382.80487,0.3183,3.06,1127562,0,1,0.55626
293,1,9787947,470.41143,0.1911,469.69218,469.4047,469.4047,0.1857,23.63,9787947,0,,0.31733
293,1,9279579,686.86525,0.1094,686.28077,685.85852,685.85852,0.1034,22.41,9279579,0,1,0.75668
293,3,7459604,665.36496,0.1585,1993.3794,1992.07202,1993.0747,0.2167,18.01,7459604,0,,0.48938
293,2,4671740,719.5914,0.1469,1438.13499,1437.16935,1437.16935,0.5059,11.28,4671740,0,1,0
293,2,3484005,704.85409,0.043,1408.645,1407.69472,1407.69472,0.1741,8.41,3484005,0,,0
293,2,2545906,754.28223,0.163,1507.557,1506.55101,1506.55101,0.4551,6.15,2545906,0,,0
293,1,2184389,822.60092,0.0313,822.09781,821.5921,821.5921,0.7503,5.27,2184389,0,,0
293,2,1974730,801.51198,0.1665,1601.1325,1600.07002,1600.07002,0.4892,4.77,1974730,0,1,0.45433
293,2,1930386,655.37092,0.1366,1309.24351,1308.44776,1308.72839,0.7239,4.66,1930386,0,1,0.5826
293,1,1694461,797.25363,0.0605,796.73009,796.2469,796.2469,0.7904,4.09,1694461,0,,0
293,2,1579370,692.50413,0.1075,1383.92068,1382.9948,1382.9948,0.3921,3.81,1579370,0,,0
293,2,1405720,733.28119,0.0865,1465.04429,1464.06527,1464.54893,0.9078,3.39,1405720,0,1,0.60663
306,3,9122451,665.36745,0.1569,1993.38687,1992.0795,1993.08218,0.2283,22.72,9122451,0,,0.42235
306,2,8487061,635.26523,0.009,1270.02987,1269.25859,1269.69018,0.2967,32.04,12865059,3570442,,0
306,3,7739110,786.03792,0.2875,2356.62013,2355.09368,2356.09656,0.124,9.93,3987268,0,,0.70862
306,2,3656026,864.44466,0.2188,1727.01918,1725.87628,1725.87628,0.3854,7.11,2855981,0,,0
306,3,2704522,719.7988,0.1007,2156.77807,2155.37387,2156.37621,0.2356,6.74,2704522,0,1,0.47474
306,1,7418096,727.66582,0.1613,727.00097,726.55936,726.55936,0.2718,18.48,7418096,0,,0
306,2,1465069,683.46829,0.1466,1365.84636,1364.9232,1364.9232,0.1869,3.65,1465069,0,,0
306,2,1330178,605.03264,0.2695,1208.79219,1208.05229,1208.05229,0.2775,3.31,1330178,0,,0
319,3,12223363,665.36639,0.1534,1993.38369,1992.07631,1993.07899,0.234,27.43,12223363,0,,0
319,2,8623935,864.44406,0.2154,1727.01799,1725.8751,1725.8751,0.3541,17.22,7673167,0,,0
319,1,5188358,470.41126,0.1969,469.69201,469.40453,469.40453,0.1837,11.64,5188358,0,,0.32515
319,1,4863119,605.14174,0.0511,604.50406,604.13495,604.13495,0.6692,10.91,4863119,0,,0.32081
319,2,3364306,683.3676,0.1223,1365.64491,1364.72175,1364.72175,0.4014,7.55,3364306,0,,0
319,2,2080397,797.89324,0.0687,1594.83277,1593.77288,1593.77288,0.3349,4.67,2080397,0,1,0.35599
319,3,1644720,719.89698,0.1359,2157.07778,2155.67342,2156.67075,0.5785,3.69,1644720,0,1,0.49459
332,3,10372539,665.3658,0.0904,1993.38191,1992.07453,1993.07721,0.2507,26.62,10372539,0,1,0.44397
332,1,9537949,727.4997,0.0792,726.93413,726.49297,726.49297,0.4414,24.48,9537949,0,,0
332,2,6497195,655.41922,0.0701,1309.34011,1308.54435,1308.82498,0.4151,16.68,6497195,0,1,0.42142
332,2,5286157,683.31058,0.1222,1365.53086,1364.6077,1364.6077,0.3159,13.57,5286157,0,,0
332,2,1551976,577.38749,0.1913,1153.45819,1152.75821,1152.75821,0.3793,3.98,1551976,0,1,0.88326
332,2,1343143,606.5464,0.2967,1211.82019,1211.07984,1211.07984,0.2961,3.45,1343143,0,,0
332,2,1226580,704.85211,0.1147,1408.64104,1407.69076,1407.69076,0.2899,3.15,1226580,0,,0
332,3,1216532,672.50608,0.134,2015.79722,2014.47584,2015.47378,0.2741,3.12,1216532,0,1,0.41899
345,3,11515875,665.37287,0.0953,1993.40313,1992.09575,1993.09843,0.283,23.06,11515875,0,1,0.43243
345,2,8272930,683.43786,0.1289,1365.78542,1364.86226,1364.86226,0.3124,16.57,8272930,0,,0.12438
345,2,7476460,655.42385,0.0571,1309.34937,1308.55362,1308.83425,0.4137,14.97,7476460,0,1,0.38827
345,2,5668670,590.56424,0.1765,1179.83069,1179.1153,1179.1153,0.2489,11.35,5668670,0,,0
345,3,1858427,607.08665,0.2072,1818.67115,1817.47375,1818.23977,0.4067,3.72,1858427,0,1,0.46893
345,1,1654527,792.02778,0.0896,791.50364,791.02105,791.02105,0.1424,3.31,1654527,0,1,0.88903
358,2,9712762,683.36776,0.131,1365.64522,1364.72206,1364.72206,0.3955,19.48,9712762,0,,0
358,2,7762964,629.45795,0.2591,1257.67023,1256.90245,1256.90245,0.1266,15.57,7762964,2200634,,0
358,2,6609286,590.60321,0.1873,1179.90836,1179.19297,1179.19297,0.2554,13.26,6609286,0,,0
358,3,1765818,792.02612,0.293,2374.59899,2373.05848,2374.06136,0.1547,3.54,1765818,0,1,0.88132
358,3,1621697,614.26922,0.1819,1840.93911,1839.7291,1840.70797,0.3096,3.25,1621697,0,,0
371,1,11659191,363.81189,0.0378,363.0249,362.80517,362.80517,0.6921,23.7,11659191,0,,0.12529
371,2,10251230,683.43407,0.123,1365.77784,1364.85468,1364.85468,0.3077,20.84,10251230,0,,0.14414
371,2,5870599,590.58032,0.1773,1179.86257,1179.14718,1179.14718,0.2329,11.93,5870599,0,,0
